pathway_id,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
R-HSA-6798695,Neutrophil degranulation,2.7814925923178163e-26,1.9470448146224713e-24,1.3267160980048087,0.4866559376614436,2.5285420463492883,433,FOLR3;S100P;MCEMP1;CD177;S100A12;VNN1;S100A8;IDH1;RNASE2;S100A9;HSPA1A;ARG1;FCGR3B;ITGAM;HSPA1B;HK3;CD36;LILRB2;HP;CYSTM1;PYGL;MMP9;PGM2;RAB10;ANXA2;CEACAM1;PADI2;MGAM;MAPK14;CLEC4D;PLD1;MGST1;HSP90AA1;CR1;SLCO4C1;GYG1;SERPINA1;GALNS;PPBP;RETN;CSTB;GCA;CDA;PLAC8;ATP11B;GLA;ALDH3B1;BIN2;MMP25;CAB39;HEBP2;NEU1;CKAP4;FCER1G;CAP1;CD63;GNS;SIGLEC9;HSPA8;PRCP;GMFG;PRDX6;RAB24;SELL;NBEAL2;S100A11;IQGAP1;BST1;CTSC;GSN;C6orf120;RAB18;CYFIP1;LRG1;ARPC5;CFP;RAB31;TIMP2;ACTR2;VCL;ACP3;ALOX5;CTSD;CD44;HSPA6;CHIT1;PLEKHO2;CD55;PDXK;ITGB2;ARSB;CLEC12A;IMPDH1;SDCBP;ITGAV;CD53;MVP;PTPRC;PTPRJ;GPR84;SERPINB1;SLC11A1;RAB7A;QPCT;PRKCD;OSTF1;SIGLEC5;RAB3D;ADGRG3;VAPA;ADGRE5;SIRPA;FCN1;DSP;FGR;OSCAR;CANT1;AGPAT2;DERA;NDUFC2;ASAH1;ALAD;FGL2;CD33;CMTM6;TCIRG1;CD59;DYNLT1;FPR1;MNDA;UNC13D;DYNC1LI1;SIGLEC14;LTA4H;CD58;PGAM1;ITGAX;PNP;CRISPLD2;TSPAN14;NFAM1;APAF1;BST2;SCAMP1;PGLYRP1;SIRPB1;CYBB;SNAP23;SLC2A3;PKM;TLR2;FUCA2;QSOX1;OLFM4;TYROBP;FTH1;GSDMD;ARL8A;CD93;CYBA;STOM;COTL1;ANPEP;CTSZ;KPNB1;MOSPD2;ARHGAP9;RHOA;GUSB;BRI3;RAP2C;DNAJC13;CTSA;SERPINB6;AMPD3;PTPN6;ATP6V1D;DOK3;CTSH;IQGAP2;ERP44;ITGAL;LGALS3;ACAA1;CFD;GDI2;DNASE1L1;CLEC5A;ATP11A;DNAJC5;LAMP2;GLB1;CTSS;CNN2;PSAP;CCT8;IGF2R;ORM2;LAMTOR2;PECAM1;RAB14;FPR2;GLIPR1;PYCARD;TUBB4B;CXCR1;RAB27A;NCSTN;RAP1B;DNAJC3;PA2G4;RAC1;COMMD9;RAB6A;TOM1;TOLLIP;CD300A;HPSE;TMEM30A;ACTR10
mod01,mod01,1.733402178485938e-17,6.066907624700784e-16,1.0768681926198325,-0.845673224595518,-3.0408546446964504,39,SPIB;BACE2;PMEPA1;LINC00494;E2F5;CD79A;TCL1A;TCF4;FCRLA;CD79B;FCRL5;STAP1;LIMS2;CD24;MIR600HG;STRBP;FCRL2;DERL3;BCL7A;BCL11A;VPREB3;POU2AF1;MZB1;CD19;CD22;BANK1;HLA-DOB;TSPAN13;MOB3B;BEND5
R-HSA-76002,"Platelet activation, signaling and aggregation",4.454386616120533e-14,1.039356877094791e-12,0.9653277542260832,0.5116783266471869,2.42614041980234,190,PROS1;FN1;CLEC1B;F5;SELP;LHFPL2;HGF;CD36;MMRN1;SERPING1;GNG5;STXBP2;MAPK14;SERPINA1;PPBP;RAB27B;SYTL4;SOD1;TIMP1;PHACTR2;ITGA2B;CLU;VAV3;GAS6;SCCPDH;FCER1G;CAP1;CD63;ITGB3;APBB1IP;DGKH;EGF;P2RY12;ARRB2;VCL;TBXA2R;P2RY1;GNAQ;GP6;TUBA4A;ABHD6;CDC42;PRKCD;LYN;PLCG2;PLA2G4A;HSPA5;TAGLN2;PIK3CB;ANXA5;SYK;GNA15;CALM2;QSOX1;GNA13;DGKG;VTI1B;STX4;PRKCA;DGKD;GNAI3;RHOA;CYRIB;GP1BA;PTPN6;F2R;ARRB1;F13A1;GNB2;GNB1;MPIG6B;PIK3CA;RAC2;GP9;ACTN1;GNG2;CFD;PIK3CG;VAV1;LAMP2;YWHAZ;PSAP;VWF;ORM2;PECAM1;STXBP3;GNG11;RAP1B;PIK3R5;RAC1;TLN1;PF4;SRGN;GRB2;WDR1;CFL1;CD9;GNB4;PRKCB;RHOG;GNAI2;IGF2;MAPK1;RAF1;PTPN1;PLEK;F8;ABCC4;GNGT2;MAPK3;LCP2
mod16,mod16,2.864804055871637e-11,5.013407097775365e-10,0.8634153916066928,0.6124117445183477,2.5447164480877884,84,MYOF;C1QB;C1QA;HMOX1;CDKN1C;LILRB1;RRAS;TCN2;CSTB;TNNT1;PLOD1;IFITM3;APH1B;CSRP1;CD63;LRPAP1;CALHM2;ABR;S100A11;CTSL;GSN;HTATIP2;SUSD1;PLEKHO2;SLC27A3;CHMP2A;UBE2F;MVP;PAQR4;CEBPB;BATF3;MAPK7;MT2A;FGR;PCYT1A;IRF7;LILRA5;MYD88;NEURL1;TNFRSF8;ASPHD2;VASP
R-HSA-114608,Platelet degranulation,2.5753718464803077e-10,3.6055205850724306e-9,0.8140358378479079,0.5796547308006228,2.4456301162577407,91,PROS1;FN1;F5;SELP;LHFPL2;HGF;CD36;MMRN1;SERPING1;STXBP2;SERPINA1;PPBP;RAB27B;SYTL4;SOD1;TIMP1;PHACTR2;ITGA2B;CLU;GAS6;SCCPDH;CAP1;CD63;ITGB3;EGF;VCL;TUBA4A;HSPA5;TAGLN2;ANXA5;CALM2;QSOX1;VTI1B;CYRIB;F13A1;ACTN1;CFD;LAMP2;PSAP;VWF;ORM2;PECAM1;TLN1;PF4;SRGN;WDR1;CFL1;CD9
R-HSA-3371568,Attenuation phase,1.3711276965361061e-5,1.5996489792921236e-4,0.5933254763964051,0.8113725167719129,2.1810531019485855,13,HSPA1A;HSPA1B;FKBP4;HSP90AA1;HSPA8;HSBP1;PTGES3;DNAJB1
MA-DOL30,MA-DOL30,2.9306983000022903e-5,2.9306983000022905e-4,0.5756102610711286,0.5838917640391534,2.077283170294585,39,S100A8;S100A9;PYGL;PLD1;SERPINA1;PPBP;TIMP1;CLU;NEU1;APBB1IP;GSN;SERPINB1;FGR;FPR1;PKM;QSOX1;PTPN6;LGALS3;VAV1;CXCR1;PA2G4;RAC1;TOLLIP
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,1.0919037132319652e-4,9.554157490779695e-4,0.5384340963099162,0.4617479552097559,1.8799395197063204,74,FN1;HMOX1;HGF;ITGAM;CD36;MMP9;JAK2;HSP90AA1;BCL6;TIMP1;RHOU;HSPA8;VIM;MCL1;POMC;ANXA1;ALOX5;ITGB2;IL4R;BATF;SOCS1;ITGAX;CEBPD;IL13RA1;TNF;TYK2;F13A1;IL23A;JAK3;HSP90B1
R-HSA-68877,Mitotic Prometaphase,9.72846784777871e-4,0.007566586103827886,0.47727081536286214,-0.3310612864374792,-1.5675634115198915,179,PCNT;BUB1;BUB1B;NCAPH;CDCA8;MAD1L1;PLK4;CENPK;INCENP;CENPP;TUBG1;KNL1;CEP78;CENPC;KIF18A;NUP160;SEH1L;CETN2;ODF2;CSNK1E;OFD1;RCC2;RANGAP1;HDAC8;SFI1;HAUS8;PPP2R5B;SMC4;SMC2;NUP107;BUB3;ZWINT;TUBB;MZT2A;PLK1;ALMS1;ZWILCH;CENPH;CEP70;SPC24;HAUS2;CENPT;SMC3;SPDL1;MZT2B;CCNB2;NDC80;NUP85;NCAPD2;MIS12;NUMA1;KIF2C;TUBGCP5;CEP135;CDCA5;TUBGCP4
R-HSA-9006931,Signaling by Nuclear Receptors,0.0013216217521083596,0.009251352264758516,0.45505986738722953,0.32143730410411087,1.5215563257051852,189,DHRS9;H2BC5;FKBP5;CPT1A;TGFA;GNG5;MMP9;PDK4;FKBP4;HSP90AA1;SPHK1;H3C6;H2BC21;PPID;GTF2A2;NOS3;H3-3A;EGF;NCOA1;H2AC6;CTSD;KCTD6;AGO4;H2BC12;CDKN1B;PTGES3;CARM1;NCOR2;RDH13;H4C8;TBL1X;CALM2;KDM1B;IGF1R;TLE3;DLD;GTF2A1;POLR2E;GNAI3;RARA;NR1H2;GNB2;GNB1;PDK3;TBL1XR1;PIK3CA;GNG2;POLR2J
