pathway_id,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
R-HSA-5621481,C-type lectin receptors (CLRs),0.01760622989673269,0.2533649213559666,0.14107289711700427,0.34281689304132174,1.4500054753067824,116,IL1B;NFKBIA;UBE2D1;FCER1G;CLEC4E;NFKB1;NFKB2;PRKCD;RELB;LYN;SRC
R-HSA-5635838,Activation of SMO,0.01772406847935549,0.2533649213559666,0.15355353685909953,-0.7110964854473205,-1.6560663858544662,8,IQCE;PTCH1;CSNK1A1;ARRB1;ARRB2
R-HSA-425407,SLC-mediated transmembrane transport,0.0186219739292365,0.2545148559050764,0.13711191525522617,0.3410483657726282,1.4434110753434843,117,SLC39A8;SLC16A1;SLC2A6;SLC16A10;SLC11A2;SLC29A3;SLC25A22;SLC2A3;SLC41A1;SLC15A3;SLC30A1;SLC1A3;SLC4A2;SLC9A8;SRI;SLC36A4;SLC2A4;SLC39A6;SLC15A4;SLC8B1;SLC7A7;ARL2;SLC2A13;SLC43A1;SLC43A2;SLC9A9;CTNS;SLC25A11;SLC3A2;SLC5A3;SLC1A4;PDZD11
R-HSA-448706,Interleukin-1 processing,0.018661901925749454,0.2545148559050764,0.14850014187143123,0.7353158529962395,1.6838787490727913,8,IL1B;NFKB1;NFKB2;RELA
R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,0.018706467661691543,0.2545148559050764,0.14850014187143123,0.8149825518659836,1.6244635426933132,5,SDC2;VCAN;HSPG2
R-HSA-209560,NF-kB is activated and signals survival,0.01874136910633261,0.2545148559050764,0.1477048969054665,0.6688812632516281,1.6726119610789132,11,NFKBIA;NFKB1;RELA;IRAK1;SQSTM1;IKBKB;UBC
R-HSA-9707587,Regulation of HMOX1 expression and activity,0.01890547263681592,0.2545148559050764,0.1477048969054665,0.8133807822157127,1.6212708161807026,5,HM13;HMOX1;NFE2L2
R-HSA-380287,Centrosome maturation,0.018907563025210083,0.2545148559050764,0.16014698350927883,-0.35295529581586155,-1.4625808259620605,76,CDK1;HAUS5;ODF2;ALMS1;CDK5RAP2;CEP192;SDCCAG8;AKAP9;OFD1;TUBG2;HAUS4;DCTN3;CETN2;HAUS6;HAUS3;CEP63;PLK1;PCNT;CEP78;TUBGCP4;PCM1;CEP70;CEP290;CSNK1E;TUBG1;CLASP1;CEP41
R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes,0.018907563025210083,0.2545148559050764,0.16014698350927883,-0.35295529581586155,-1.4625808259620605,76,CDK1;HAUS5;ODF2;ALMS1;CDK5RAP2;CEP192;SDCCAG8;AKAP9;OFD1;TUBG2;HAUS4;DCTN3;CETN2;HAUS6;HAUS3;CEP63;PLK1;PCNT;CEP78;TUBGCP4;PCM1;CEP70;CEP290;CSNK1E;TUBG1;CLASP1;CEP41
R-HSA-114604,GPVI-mediated activation cascade,0.018910741301059002,0.2545148559050764,0.14390961974585495,0.5106691928546087,1.6214505774647967,28,VAV1;FCER1G;LYN;RHOB;RAC1;PIK3R5;LCP2;PIK3R6;PIK3CB;RHOG
